"","Especie","Idade","Hmed","Hsd","N","Sobre"
"1","E_amaldulensis",7,1.80285714285714,0.219606217480978,1666.66666666667,48.6111111111111
"2","E_citriodora",7,1.55845070422535,0.251138253826874,1666.66666666667,98.6111111111111
"3","E_grandis",7,1.30140845070423,0.207014808129052,1666.66666666667,98.6111111111111
"4","E_paniculata",7,1.41388888888889,0.254013172307639,1666.66666666667,100
"5","E_pellita",7,1.43402777777778,0.27499377571559,1666.66666666667,100
"6","E_propinqua",7,1.16971830985916,0.325299737960396,1666.66666666667,98.6111111111111
"7","E_saligna",7,1.15833333333333,0.20487027843471,1666.66666666667,100
"8","E_tereticornis",7,1.56319444444444,0.314328375836521,1666.66666666667,100
"9","E_urophylla",7,2.12642857142857,2.67242658863356,1666.66666666667,97.2222222222222
"10","E_urophylla_grandis",7,1.17708333333333,0.199636553569547,1666.66666666667,100
