Esp,Dens
Clone_VCPP4295H,0.49
E_badjensis,0.39
E_benthamii,0.493333333
E_botryoides,0.55425
E_brassiana,0.68
E_camaldulensis,0.62875
E_citriodora,0.73875
E_citriodora_Anhembi,0.651
E_citriodora_Restinga,0.651
E_cloeziana,0.651
E_deanei,0.51175
E_deglupta,0.53
E_dunnii,0.51175
E_dunnii_urophylla,0.566666667
E_exserta,0.695
E_globulus,0.531
E_grandis,0.492142857
E_grandis_01,0.492142857
E_grandis_02,0.492142857
E_grandis_03,0.492142857
E_grandis_Anhembi,0.492142857
E_grandis_AT,0.492142857
E_grandis_BragPaulista,0.492142857
E_grandis_camaldulensis,0.5305
E_grandis_CH,0.492142857
E_grandis_urophylla,0.53
E_maculata,0.6772
E_melliodora,0.63
E_microcorys,0.637
E_nitens,0.5
E_paniculata,0.74375
E_pellita,0.588222222
E_phaeotricha,0.674
E_pilularis,0.623
E_platyphylla,0.55
E_propinqua,0.64775
E_ptychocarpa,0.65
E_punctata,0.694
E_resinifera,0.713
E_robusta,0.662
E_saligna,0.532166667
E_saligna_02,0.532166667
E_saligna_Avare,0.532166667
E_saligna_Itapira,0.532166667
E_staigeriana,1.13
E_tereticornis,0.6135
E_torelliana,0.666666667
E_umbra,0.6
E_urophylla,0.5311
E_urophylla_Anhembi,0.5311
E_urophylla_Avare,0.5311
E_urophylla_F,0.5311
E_urophylla_grandis,0.496666667
E_urophylla_grandis_02,0.496666667
E_urophylla_grandis_03,0.496666667
E_urophylla_grandis_05,0.496666667
E_urophylla_grandis_07,0.496666667
E_urophylla_grandis_12,0.496666667
E_urophylla_mel,0.5311
E_viminalis,0.502666667
